"";"X";"collection_id";"collection_date";"num_trap";"surv_year";"trap_nights";"trap_problem_bit";"num_count";"sex_id";"sex_type";"sex_name";"species_id";"species_full_name";"species_display_name";"trap_id";"trap_acronym";"trap_name";"trap_presence"
"14";14;3033497;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;4;"female";"Females - Mixed";57;"Culiseta incidens";"Cs incidens";2;"CO2";"Carbon dioxide baited trap";FALSE
"15";15;3033497;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";58;"Culiseta inornata";"Cs inornata";2;"CO2";"Carbon dioxide baited trap";FALSE
"16";16;3033497;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;62;4;"female";"Females - Mixed";64;"Culex erythrothorax";"Cx erythrothorax";2;"CO2";"Carbon dioxide baited trap";FALSE
"17";17;3033497;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;21;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";2;"CO2";"Carbon dioxide baited trap";FALSE
"18";18;3033497;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;17;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";2;"CO2";"Carbon dioxide baited trap";FALSE
"19";19;3033498;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";3;"GRVD";"Gravid trap";FALSE
"20";20;3033498;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;3;"male";"Males";70;"Culex tarsalis";"Cx tarsalis";3;"GRVD";"Gravid trap";FALSE
"21";21;3033498;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";3;"GRVD";"Gravid trap";FALSE
"22";22;3033499;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;NA;NA;NA;NA;NA;NA;NA;3;"GRVD";"Gravid trap";FALSE
"23";23;3033525;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"24";24;3033610;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"25";25;3033612;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"26";26;3033612;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;3;"male";"Males";70;"Culex tarsalis";"Cx tarsalis";13;"BGSENT";"BG Sentinel";FALSE
"27";27;3033612;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";13;"BGSENT";"BG Sentinel";FALSE
"28";28;3033613;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";48;"Aedes vexans";"Ae vexans";13;"BGSENT";"BG Sentinel";FALSE
"29";29;3033613;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"30";30;3033615;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";35;"Aedes melanimon";"Ae melanimon";13;"BGSENT";"BG Sentinel";FALSE
"31";31;3033615;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";51;"Anopheles freeborni";"An freeborni";13;"BGSENT";"BG Sentinel";FALSE
"32";32;3033615;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;7;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"33";33;3033615;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";13;"BGSENT";"BG Sentinel";FALSE
"34";34;3033616;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";51;"Anopheles freeborni";"An freeborni";13;"BGSENT";"BG Sentinel";FALSE
"35";35;3033616;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"36";36;3033616;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;3;"male";"Males";70;"Culex tarsalis";"Cx tarsalis";13;"BGSENT";"BG Sentinel";FALSE
"37";37;3033617;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"38";38;3033619;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"39";39;3033637;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";51;"Anopheles freeborni";"An freeborni";13;"BGSENT";"BG Sentinel";FALSE
"40";40;3033637;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;3;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"41";41;3033637;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";13;"BGSENT";"BG Sentinel";FALSE
"42";42;3033645;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;4;4;"female";"Females - Mixed";48;"Aedes vexans";"Ae vexans";13;"BGSENT";"BG Sentinel";FALSE
"43";43;3033645;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";57;"Culiseta incidens";"Cs incidens";13;"BGSENT";"BG Sentinel";FALSE
"44";44;3033645;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"45";45;3033735;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;NA;NA;NA;NA;NA;NA;NA;2;"CO2";"Carbon dioxide baited trap";FALSE
"46";46;3033736;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;3;"male";"Males";70;"Culex tarsalis";"Cx tarsalis";3;"GRVD";"Gravid trap";FALSE
"47";47;3033738;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;3;3;"male";"Males";51;"Anopheles freeborni";"An freeborni";3;"GRVD";"Gravid trap";FALSE
"48";48;3033738;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;3;"male";"Males";65;"Culex pipiens";"Cx pipiens";3;"GRVD";"Gravid trap";FALSE
"49";49;3033739;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;4;4;"female";"Females - Mixed";51;"Anopheles freeborni";"An freeborni";2;"CO2";"Carbon dioxide baited trap";FALSE
"50";50;3033739;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";2;"CO2";"Carbon dioxide baited trap";FALSE
"51";51;3033739;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;3;"male";"Males";70;"Culex tarsalis";"Cx tarsalis";2;"CO2";"Carbon dioxide baited trap";FALSE
"52";52;3033739;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";2;"CO2";"Carbon dioxide baited trap";FALSE
"53";53;3033740;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;4;"female";"Females - Mixed";51;"Anopheles freeborni";"An freeborni";2;"CO2";"Carbon dioxide baited trap";FALSE
"54";54;3033740;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";57;"Culiseta incidens";"Cs incidens";2;"CO2";"Carbon dioxide baited trap";FALSE
"55";55;3033740;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;3;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";2;"CO2";"Carbon dioxide baited trap";FALSE
"56";56;3033741;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;NA;NA;NA;NA;NA;NA;NA;3;"GRVD";"Gravid trap";FALSE
"57";57;3033742;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";51;"Anopheles freeborni";"An freeborni";2;"CO2";"Carbon dioxide baited trap";FALSE
"58";58;3033742;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";58;"Culiseta inornata";"Cs inornata";2;"CO2";"Carbon dioxide baited trap";FALSE
"59";59;3033742;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;5;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";2;"CO2";"Carbon dioxide baited trap";FALSE
"60";60;3033742;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;5;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";2;"CO2";"Carbon dioxide baited trap";FALSE
"61";61;3033743;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;3;3;"male";"Males";51;"Anopheles freeborni";"An freeborni";3;"GRVD";"Gravid trap";FALSE
"62";62;3033743;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;4;"female";"Females - Mixed";51;"Anopheles freeborni";"An freeborni";3;"GRVD";"Gravid trap";FALSE
"63";63;3033743;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;3;"male";"Males";65;"Culex pipiens";"Cx pipiens";3;"GRVD";"Gravid trap";FALSE
"64";64;3033743;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;6;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";3;"GRVD";"Gravid trap";FALSE
"65";65;3033744;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;4;"female";"Females - Mixed";51;"Anopheles freeborni";"An freeborni";2;"CO2";"Carbon dioxide baited trap";FALSE
"66";66;3033744;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;4;"female";"Females - Mixed";58;"Culiseta inornata";"Cs inornata";2;"CO2";"Carbon dioxide baited trap";FALSE
"67";67;3033745;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;3;"male";"Males";70;"Culex tarsalis";"Cx tarsalis";3;"GRVD";"Gravid trap";FALSE
"68";68;3033778;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";51;"Anopheles freeborni";"An freeborni";2;"CO2";"Carbon dioxide baited trap";FALSE
"69";69;3033778;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;3;"male";"Males";70;"Culex tarsalis";"Cx tarsalis";2;"CO2";"Carbon dioxide baited trap";FALSE
"70";70;3033778;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";2;"CO2";"Carbon dioxide baited trap";FALSE
"71";71;3033779;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;13;3;"male";"Males";51;"Anopheles freeborni";"An freeborni";3;"GRVD";"Gravid trap";FALSE
"72";72;3033779;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;5;4;"female";"Females - Mixed";51;"Anopheles freeborni";"An freeborni";3;"GRVD";"Gravid trap";FALSE
"73";73;3033779;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;4;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";3;"GRVD";"Gravid trap";FALSE
"74";74;3033779;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;3;"male";"Males";70;"Culex tarsalis";"Cx tarsalis";3;"GRVD";"Gravid trap";FALSE
"75";75;3033780;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;NA;NA;NA;NA;NA;NA;NA;3;"GRVD";"Gravid trap";FALSE
"76";76;3033781;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;39;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";2;"CO2";"Carbon dioxide baited trap";FALSE
"77";77;3033784;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";35;"Aedes melanimon";"Ae melanimon";2;"CO2";"Carbon dioxide baited trap";FALSE
"78";78;3033784;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;3;"male";"Males";51;"Anopheles freeborni";"An freeborni";2;"CO2";"Carbon dioxide baited trap";FALSE
"79";79;3033784;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";51;"Anopheles freeborni";"An freeborni";2;"CO2";"Carbon dioxide baited trap";FALSE
"80";80;3033784;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;3;4;"female";"Females - Mixed";58;"Culiseta inornata";"Cs inornata";2;"CO2";"Carbon dioxide baited trap";FALSE
"81";81;3033784;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;5;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";2;"CO2";"Carbon dioxide baited trap";FALSE
"82";82;3033785;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;3;"male";"Males";51;"Anopheles freeborni";"An freeborni";3;"GRVD";"Gravid trap";FALSE
"83";83;3033785;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;3;4;"female";"Females - Mixed";51;"Anopheles freeborni";"An freeborni";3;"GRVD";"Gravid trap";FALSE
"84";84;3033785;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;4;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";3;"GRVD";"Gravid trap";FALSE
"85";85;3033785;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;3;"male";"Males";70;"Culex tarsalis";"Cx tarsalis";3;"GRVD";"Gravid trap";FALSE
"86";86;3033786;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";3;"GRVD";"Gravid trap";FALSE
"87";87;3033852;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;3;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";2;"CO2";"Carbon dioxide baited trap";FALSE
"88";88;3033852;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;15;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";2;"CO2";"Carbon dioxide baited trap";FALSE
"89";89;3033853;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";3;"GRVD";"Gravid trap";FALSE
"90";90;3033853;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;3;"male";"Males";70;"Culex tarsalis";"Cx tarsalis";3;"GRVD";"Gravid trap";FALSE
"91";91;3033855;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;6;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"92";92;3033855;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";145;"Aedes aegypti";"Ae aegypti";13;"BGSENT";"BG Sentinel";FALSE
"93";93;3033857;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;26;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"94";94;3033857;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;7;4;"female";"Females - Mixed";145;"Aedes aegypti";"Ae aegypti";13;"BGSENT";"BG Sentinel";FALSE
"95";95;3033858;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;5;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"96";96;3033859;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";35;"Aedes melanimon";"Ae melanimon";13;"BGSENT";"BG Sentinel";FALSE
"97";97;3033859;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"98";98;3033860;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;24;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"99";99;3033860;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";13;"BGSENT";"BG Sentinel";FALSE
"100";100;3033861;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;3;4;"female";"Females - Mixed";35;"Aedes melanimon";"Ae melanimon";2;"CO2";"Carbon dioxide baited trap";FALSE
"101";101;3033861;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;3;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";2;"CO2";"Carbon dioxide baited trap";FALSE
"102";102;3033861;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;13;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";2;"CO2";"Carbon dioxide baited trap";FALSE
"103";103;3033862;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;NA;NA;NA;NA;NA;NA;NA;3;"GRVD";"Gravid trap";FALSE
"104";104;3033863;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;27;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"105";105;3033864;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;NA;NA;NA;NA;NA;NA;NA;13;"BGSENT";"BG Sentinel";FALSE
"106";106;3033865;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;4;"female";"Females - Mixed";35;"Aedes melanimon";"Ae melanimon";13;"BGSENT";"BG Sentinel";FALSE
"107";107;3033865;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";50;"Anopheles franciscanus";"An franciscanus";13;"BGSENT";"BG Sentinel";FALSE
"108";108;3033865;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;6;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"109";109;3033866;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;3;"male";"Males";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"110";110;3033866;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;3;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"111";111;3033879;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;4;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"112";112;3033892;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;12;3;"male";"Males";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"113";113;3033916;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;5;4;"female";"Females - Mixed";35;"Aedes melanimon";"Ae melanimon";13;"BGSENT";"BG Sentinel";FALSE
"114";114;3033916;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;4;"female";"Females - Mixed";57;"Culiseta incidens";"Cs incidens";13;"BGSENT";"BG Sentinel";FALSE
"115";115;3033916;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;9;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"116";116;3033919;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";35;"Aedes melanimon";"Ae melanimon";13;"BGSENT";"BG Sentinel";FALSE
"117";117;3034507;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;4;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";2;"CO2";"Carbon dioxide baited trap";FALSE
"118";118;3034507;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;3;"male";"Males";70;"Culex tarsalis";"Cx tarsalis";2;"CO2";"Carbon dioxide baited trap";FALSE
"119";119;3034507;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";2;"CO2";"Carbon dioxide baited trap";FALSE
"120";120;3034507;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";145;"Aedes aegypti";"Ae aegypti";2;"CO2";"Carbon dioxide baited trap";FALSE
"121";121;3034509;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;11;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";2;"CO2";"Carbon dioxide baited trap";FALSE
"122";122;3034509;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";2;"CO2";"Carbon dioxide baited trap";FALSE
"123";123;3034509;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;8;3;"male";"Males";145;"Aedes aegypti";"Ae aegypti";2;"CO2";"Carbon dioxide baited trap";FALSE
"124";124;3034509;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;7;4;"female";"Females - Mixed";145;"Aedes aegypti";"Ae aegypti";2;"CO2";"Carbon dioxide baited trap";FALSE
"125";125;3034510;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;10;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"126";126;3034510;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;4;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";13;"BGSENT";"BG Sentinel";FALSE
"127";127;3034510;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;5;3;"male";"Males";145;"Aedes aegypti";"Ae aegypti";13;"BGSENT";"BG Sentinel";FALSE
"128";128;3034510;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;13;4;"female";"Females - Mixed";145;"Aedes aegypti";"Ae aegypti";13;"BGSENT";"BG Sentinel";FALSE
"129";129;3034514;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;4;"female";"Females - Mixed";35;"Aedes melanimon";"Ae melanimon";2;"CO2";"Carbon dioxide baited trap";FALSE
"130";130;3034514;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;4;"female";"Females - Mixed";57;"Culiseta incidens";"Cs incidens";2;"CO2";"Carbon dioxide baited trap";FALSE
"131";131;3034514;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;3;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";2;"CO2";"Carbon dioxide baited trap";FALSE
"132";132;3034514;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;3;"male";"Males";70;"Culex tarsalis";"Cx tarsalis";2;"CO2";"Carbon dioxide baited trap";FALSE
"133";133;3034514;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";2;"CO2";"Carbon dioxide baited trap";FALSE
"134";134;3034514;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;4;4;"female";"Females - Mixed";145;"Aedes aegypti";"Ae aegypti";2;"CO2";"Carbon dioxide baited trap";FALSE
"135";135;3034516;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;4;"female";"Females - Mixed";35;"Aedes melanimon";"Ae melanimon";13;"BGSENT";"BG Sentinel";FALSE
"136";136;3034516;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;2;3;"male";"Males";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"137";137;3034516;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;9;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";13;"BGSENT";"BG Sentinel";FALSE
"138";138;3034516;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";13;"BGSENT";"BG Sentinel";FALSE
"139";139;3034516;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;5;4;"female";"Females - Mixed";145;"Aedes aegypti";"Ae aegypti";13;"BGSENT";"BG Sentinel";FALSE
"140";140;3034517;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";51;"Anopheles freeborni";"An freeborni";2;"CO2";"Carbon dioxide baited trap";FALSE
